epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.364,1.09004,2.85189,1.69516,0.88808,0.49314,0.60397,0.32465,1.29059,3.62536,2.35431,0.000365396,0.000365396,0.000365396
2,419.923,1.16266,1.7177,1.71743,0.70847,0.46817,0.44448,0.10759,2.27542,3.0894,3.21561,0.000721161,0.000721161,0.000721161
3,626.384,1.15042,1.4697,1.70361,0.78464,0.44216,0.49158,0.23352,1.604,2.3516,2.68398,0.00106226,0.00106226,0.00106226
4,831.98,1.11783,1.3755,1.68894,0.92525,0.59365,0.78693,0.51643,1.42536,1.52972,2.72997,0.00104501,0.00104501,0.00104501
5,1044.02,1.13909,1.25604,1.6866,0.77787,0.47503,0.47239,0.27168,1.46484,1.83456,2.58444,0.00102301,0.00102301,0.00102301
6,1252.41,1.10683,1.16498,1.66627,0.9185,0.60335,0.71583,0.4441,1.33697,1.10791,2.45877,0.00100101,0.00100101,0.00100101
7,1462.66,1.11741,1.11297,1.67006,0.98461,0.65013,0.87164,0.5913,1.3697,0.9059,2.31896,0.000979013,0.000979013,0.000979013
8,1673.05,1.10432,1.03297,1.65759,0.95106,0.59754,0.693,0.40398,1.52369,1.12844,2.47304,0.000957015,0.000957015,0.000957015
9,1884.2,1.10249,1.03252,1.65323,0.96286,0.63288,0.67856,0.4075,1.36998,0.87879,2.29072,0.000935018,0.000935018,0.000935018
10,2094.14,1.06283,1.01088,1.62587,0.93488,0.57477,0.64659,0.40403,1.38019,0.86134,2.48505,0.00091302,0.00091302,0.00091302
11,2305.33,1.04524,0.98475,1.61651,0.90063,0.60122,0.72605,0.45372,1.37021,0.93634,2.38115,0.000891022,0.000891022,0.000891022
12,2513.59,1.041,0.97374,1.61119,0.8488,0.58598,0.64239,0.3882,1.35623,1.02805,2.36558,0.000869024,0.000869024,0.000869024
13,2724.09,1.05801,0.95947,1.61424,0.90634,0.57251,0.64566,0.39975,1.29789,0.89591,2.27,0.000847026,0.000847026,0.000847026
14,3296.69,1.05655,0.93541,1.61057,0.97661,0.62878,0.82281,0.55027,1.3438,0.71955,2.28034,0.000825029,0.000825029,0.000825029
15,3532.94,1.04687,0.92608,1.61637,0.98062,0.6458,0.68631,0.44273,1.32121,0.68473,2.32341,0.000803031,0.000803031,0.000803031
16,3755.93,1.04348,0.92831,1.60973,0.96453,0.58822,0.64028,0.38679,1.39137,0.8349,2.25147,0.000781033,0.000781033,0.000781033
17,3982.23,1.01362,0.88132,1.5902,0.93099,0.59372,0.73821,0.48652,1.28738,0.79399,2.16113,0.000759035,0.000759035,0.000759035
18,4201.67,1.0242,0.90305,1.59629,0.97828,0.64226,0.67203,0.44624,1.29368,0.60831,2.2455,0.000737037,0.000737037,0.000737037
19,4425.41,0.99616,0.83843,1.57551,0.93673,0.61808,0.65221,0.42008,1.28532,0.66681,2.32218,0.00071504,0.00071504,0.00071504
20,4651.27,1.0098,0.84708,1.57648,0.91911,0.63253,0.64458,0.40313,1.28108,0.81044,2.18987,0.000693042,0.000693042,0.000693042
21,4865.49,0.99515,0.86538,1.57478,0.97752,0.6458,0.68112,0.44133,1.25838,0.64937,2.12576,0.000671044,0.000671044,0.000671044
22,5082.69,1.00608,0.84628,1.56886,0.97495,0.63871,0.65322,0.41868,1.27488,0.6405,2.1928,0.000649046,0.000649046,0.000649046
23,5299.75,1.00843,0.84236,1.57041,0.96283,0.64409,0.68105,0.434,1.23847,0.64896,2.18117,0.000627048,0.000627048,0.000627048
24,5525.29,0.99797,0.8513,1.56456,0.9742,0.61467,0.70713,0.46502,1.27949,0.69802,2.14042,0.000605051,0.000605051,0.000605051
25,5760.14,0.96649,0.83146,1.5596,0.99023,0.65003,0.71709,0.47468,1.28116,0.62706,2.11316,0.000583053,0.000583053,0.000583053
26,5980.24,0.98978,0.84093,1.55207,0.96558,0.63084,0.69772,0.47046,1.23298,0.59994,2.14054,0.000561055,0.000561055,0.000561055
27,6200.06,0.97125,0.81135,1.54435,0.9664,0.63871,0.67286,0.45639,1.20166,0.57843,2.11226,0.000539057,0.000539057,0.000539057
28,6420.33,0.98258,0.78356,1.55099,0.96519,0.63748,0.67711,0.44359,1.2652,0.61757,2.15953,0.000517059,0.000517059,0.000517059
29,6638.48,0.97544,0.79351,1.55168,0.97123,0.64786,0.68444,0.46088,1.24407,0.65516,2.11575,0.000495062,0.000495062,0.000495062
30,6860.97,0.96103,0.77577,1.53782,0.97645,0.64076,0.68574,0.44228,1.31771,0.6953,2.17349,0.000473064,0.000473064,0.000473064
31,7080.69,0.92908,0.79597,1.5278,0.98242,0.63554,0.70351,0.45483,1.29634,0.65053,2.16032,0.000451066,0.000451066,0.000451066
32,7296.56,0.95456,0.79554,1.53731,0.97584,0.6395,0.6669,0.4487,1.24138,0.5853,2.10584,0.000429068,0.000429068,0.000429068
33,7515.73,0.94846,0.7789,1.52787,0.95875,0.6324,0.69788,0.47073,1.25089,0.67604,2.13136,0.00040707,0.00040707,0.00040707
34,7735.49,0.9408,0.7873,1.52224,0.9766,0.63715,0.73582,0.50289,1.21931,0.61208,2.06866,0.000385073,0.000385073,0.000385073
35,7953.19,0.97066,0.79951,1.54307,0.96293,0.64148,0.6973,0.48288,1.20423,0.57748,2.06935,0.000363075,0.000363075,0.000363075
36,8179.13,0.9314,0.78818,1.5195,0.98422,0.64737,0.68833,0.46669,1.22373,0.57921,2.05242,0.000341077,0.000341077,0.000341077
37,8406.77,0.91026,0.75085,1.51193,0.97934,0.64226,0.67872,0.46516,1.18874,0.55171,2.07487,0.000319079,0.000319079,0.000319079
38,8629.82,0.92582,0.74788,1.51296,0.97277,0.64279,0.68885,0.46213,1.22405,0.62052,2.04635,0.000297081,0.000297081,0.000297081
39,8857.04,0.91042,0.76078,1.50132,0.96417,0.64604,0.7034,0.47123,1.2571,0.60906,2.07692,0.000275084,0.000275084,0.000275084
40,9082.07,0.91886,0.7524,1.51346,0.96859,0.63812,0.68935,0.46837,1.22157,0.5753,2.04585,0.000253086,0.000253086,0.000253086
41,9304.51,0.85501,0.59475,1.73023,0.97405,0.64991,0.66921,0.44196,1.22623,0.5992,2.06361,0.000231088,0.000231088,0.000231088
42,9530.46,0.83742,0.49472,1.72502,0.98624,0.65013,0.6717,0.4412,1.23192,0.60913,2.05946,0.00020909,0.00020909,0.00020909
43,9752.93,0.83083,0.47628,1.71525,0.9859,0.64809,0.67171,0.44266,1.24633,0.58646,2.07717,0.000187092,0.000187092,0.000187092
44,9976.24,0.81179,0.47284,1.68589,0.97654,0.64226,0.67161,0.44176,1.29088,0.62137,2.05319,0.000165095,0.000165095,0.000165095
45,10202.7,0.82147,0.46826,1.70443,0.98882,0.6458,0.67157,0.44751,1.23838,0.58884,2.06092,0.000143097,0.000143097,0.000143097
46,10423.3,0.80439,0.44704,1.6802,0.98602,0.6451,0.74985,0.51793,1.20059,0.58505,2.04161,0.000121099,0.000121099,0.000121099
47,10645.4,0.78249,0.46721,1.65132,0.99011,0.64559,0.66639,0.45308,1.21336,0.59363,2.03334,9.91012e-05,9.91012e-05,9.91012e-05
48,10870.2,0.78108,0.46098,1.64715,0.98521,0.64856,0.66787,0.45357,1.19724,0.5598,2.04345,7.71034e-05,7.71034e-05,7.71034e-05
49,11092.3,0.77899,0.45113,1.65195,0.98407,0.65013,0.67749,0.45884,1.19596,0.5589,2.04394,5.51056e-05,5.51056e-05,5.51056e-05
50,11316.6,0.78339,0.46048,1.65824,0.98504,0.65013,0.69524,0.47509,1.2114,0.57244,2.04646,3.31078e-05,3.31078e-05,3.31078e-05
